Channel Id,Channel Url,Channel Title
UCv9X4TbvB6Eo0s7H20abg5g,http://www.youtube.com/channel/UCv9X4TbvB6Eo0s7H20abg5g,Tipster
UCvEdeev3sZoxi5hMksZI4KA,http://www.youtube.com/channel/UCvEdeev3sZoxi5hMksZI4KA,Jakejw93 - Linux Gaming
UCwRqWnW5ZkVaP_lZF7caZ-g,http://www.youtube.com/channel/UCwRqWnW5ZkVaP_lZF7caZ-g,Retro Game Mechanics Explained
UCwp0KmeZ-B4c4EZPmIp0L4g,http://www.youtube.com/channel/UCwp0KmeZ-B4c4EZPmIp0L4g,StopDrop&Retro
UCwq5WetL2mkT3dmiVjwl-kA,http://www.youtube.com/channel/UCwq5WetL2mkT3dmiVjwl-kA,Mark Fixes Stuff
UCxLYtICsUCWdr1YPrj5DtwA,http://www.youtube.com/channel/UCxLYtICsUCWdr1YPrj5DtwA,Ordinary Things
UCyNtlmLB73-7gtlBz00XOQQ,http://www.youtube.com/channel/UCyNtlmLB73-7gtlBz00XOQQ,Folding Ideas
UCyhnYIvIKK_--PiJXCMKxQQ,http://www.youtube.com/channel/UCyhnYIvIKK_--PiJXCMKxQQ,Joseph Anderson
UCymYq4Piq0BrhnM18aQzTlg,http://www.youtube.com/channel/UCymYq4Piq0BrhnM18aQzTlg,Lon.TV
UCywGsTdh_qqZUYmA2Gro2CA,http://www.youtube.com/channel/UCywGsTdh_qqZUYmA2Gro2CA,Loic Suberville
UCz3qvETKooktNgCvvheuQDw,http://www.youtube.com/channel/UCz3qvETKooktNgCvvheuQDw,Event Horizon
UCzR-rom72PHN9Zg7RML9EbA,http://www.youtube.com/channel/UCzR-rom72PHN9Zg7RML9EbA,PBS Eons

